Building Name,Property Type,Address,Area / Size,Rent,City,Region,Property Details,Property Link,Image URL,Listing ID,Source,Building Size,Year Built,Grade,Construction Status
Ramky One Genext Towers,Under Construction,"Ramky One Genext Towers
                                             
                                          Uppal, Hyderabad","1,860 Sq. Ft",₹ 1.09 Cr to 1.82 Cr,Hyderabad,Telangana,"Ramky One Genext Towers by Ramky Group is an Apartment in Uppal, Hyderabad, with 2 BHK, 3 BHK Flats floor plans. Unit sizes are available from 1310 Sq.Ft. to 1860 Sq.Ft.. The project is Under Construction, with possession Scheduled for Jul 2028. Units are priced from ₹ 1.09 Cr. Read more",https://www.squareyards.com/hyderabad-residential-property/ramky-one-genext-towers/185626/project,https://static.squareyards.com/resources/images/hyderabad/project-image/ramky-one-genext-towers-project-project-large-image1-9599.jpg?aio=w-578;h-316;crop;,project,Square Yards,,,,
Ramky One Orion,Under Construction,"Ramky One Orion
                                             
                                          Pocharam, Hyderabad","1,825 Sq. Ft",₹ 82.98 Lac to 1.20 Cr,Hyderabad,Telangana,"Ramky One Orion by Ramky Group in Pocharam, Hyderabad is a Under Construction Apartment development with 3 BHK Flats configurations. Unit sizes range from 1265 Sq.Ft. to 1825 Sq.Ft. across a total area of 8.8 Acres. Prices begin at ₹ 82.98 Lac, with possession expected by Dec 2027. Read more",https://www.squareyards.com/hyderabad-residential-property/ramky-one-orion/223232/project,https://static.squareyards.com/resources/images/hyderabad/project-image/ramky-one-orion-project-project-large-image1-2379.jpg?aio=w-578;h-316;crop;,project,Square Yards,,,,
MINDSPACE - BUILDING NO 16,office,"S No, 64, Inorbit Mall Road, APIIC Software Layout, Hitec City, Hyderabad",,Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/mindspace-building-no-16-s-no-64-inorbit-mall-road-apiic-software-layout,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1727972095/prd/Focus/Property/j6rxs6kw4jnf0wenh0om.jpg",mindspace-building-no-16-s-no-64-inorbit-mall-road-apiic-software-layout,JLL,,,,
SALARPURIA SATTVA KNOWLEDGE CITY - PARCEL 4 - OCTAVE BLOCK,office,"Plot No 2, Inorbit Mall Road, Raidurg Village, Hitec City, Hyderabad",,Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/salarpuria-sattva-knowledge-city-parcel-4-octave-block-plot-no-2-inorbit-mall-road-raidurg-village,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1734580286/prd/Focus/Property/uh9cs4dj1a1lc0xl7aqv.jpg",salarpuria-sattva-knowledge-city-parcel-4-octave-block-plot-no-2-inorbit-mall-road-raidurg-village,JLL,,,,
DIVYASREE ORION - BLOCK 8,office,"Old Mumbai Highway, Near Raidurgam Police Station, Madhura Nagar Colony, Raidurg, Hyderabad",,Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/divyasree-orion-block-8-old-mumbai-highway-near-raidurgam-police-station-madhura-nagar-colony,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1732877404/prd/Focus/Property/f1ujzyyg5vvh7tpva5cg.jpg",divyasree-orion-block-8-old-mumbai-highway-near-raidurgam-police-station-madhura-nagar-colony,JLL,,,,
MINDSPACE - BUILDING NO 4,office,"Survey No 64, APIIC Software Layout, Hitec City, Hyderabad",,Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/mindspace-building-no-4-survey-no-64-apiic-software-layout,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1727972089/prd/Focus/Property/rita2vw7ztydljwjjmxt.jpg",mindspace-building-no-4-survey-no-64-apiic-software-layout,JLL,,,,
SALARPURIA SATTVA KNOWLEDGE CAPITAL - BLOCK 1,office,"Salarpuria Sattva Knowledge Capital - Block 1, Financial District, Hyderabad",,Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/salarpuria-sattva-knowledge-capital-block-1,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1708342058/prd/Focus/Property/qry5jul3rc1idpbuml3i.jpg",salarpuria-sattva-knowledge-capital-block-1,JLL,,,,
THE SKYVIEW - SEZ - 20,office,"62, HITEC City Main Road, Lumbini Avenue, Hitec City, Hyderabad",,Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/the-skyview-sez-20-62-hitec-city-main-road-lumbini-avenue,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1746463097/prd/Focus/Property/vlmkv5s9sbovcte8n5dj.jpg",the-skyview-sez-20-62-hitec-city-main-road-lumbini-avenue,JLL,,,,
THE NEXT AVENUE - TOWER 1,office,"Silpa Gram Craft Village, Hitec City, Hyderabad",,Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/the-next-avenue-tower-1-silpa-gram-craft-village,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1738081328/prd/Focus/Property/gjvdy90vahbvkvbfcrz4.jpg",the-next-avenue-tower-1-silpa-gram-craft-village,JLL,,,,
RMZ SPIRE - TOWER 100,office,"Plot No 14&15, Phase 2, Hitec City, Hyderabad",,Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/rmz-spire-tower-100-plot-no-1415-phase-2,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1732249221/prd/Focus/Property/xe4qpkazbrrn5r9o69o9.jpg",rmz-spire-tower-100-plot-no-1415-phase-2,JLL,,,,
PALNADU ASTER,office,"Palnadu Aster, Financial District, Hyderabad",,Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/palnadu-aster,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1728923197/prd/Focus/Property/u8vszeke9nt05rpet2rh.jpg",palnadu-aster,JLL,,,,
MY HOME TWITZA,office,"Hitech City Main Road, Diamond Hills, Lumbini Avenue, Hitec City, Hyderabad",,Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/my-home-twitza-hitech-city-main-road-diamond-hills-lumbini-avenue,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1740455402/prd/Focus/Property/xlmo1c05bbh4lycnih7j.jpg",my-home-twitza-hitech-city-main-road-diamond-hills-lumbini-avenue,JLL,,,,
MINDSPACE - BUILDING NO 6,office,"HUDA Techno Enclave, Hitec City, Hyderabad",,Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/mindspace-building-no-6-huda-techno-enclave,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1734366079/prd/Focus/Property/zywmd5zverriozomhnzi.jpg",mindspace-building-no-6-huda-techno-enclave,JLL,,,,
PHOENIX - H10 - TOWER 3,office,"Phoenix SEZ Access Road, Hitec City, Hyderabad",,Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/phoenix-h10-tower-3-phoenix-sez-access-road,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1751561114/prd/Focus/Property/ntpjrrcfkrlazwjcr8sa.jpg",phoenix-h10-tower-3-phoenix-sez-access-road,JLL,,,,
MINDSPACE - BUILDING NO 12B,office,"Vittal Rao Nagar, Hitec City, Hyderabad",,Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/mindspace-building-no-12b-vittal-rao-nagar,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1734539162/prd/Focus/Property/ibt9qvhatt7hwrjyhat5.jpg",mindspace-building-no-12b-vittal-rao-nagar,JLL,,,,
CORPORATE CAPITAL,office,"Corporate Capital, Financial District, Hyderabad",,Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/corporate-capital,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1752597881/prd/Focus/Property/isihryxc6emjwzuhdgwy.jpg",corporate-capital,JLL,,,,
ICICI BANK TOWER,office,"Road No. 2, Financial District, Hyderabad",,Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/icici-bank-tower-road-no-2,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1724344144/prd/Focus/Property/glpcejgw2pfmnpmr1eke.jpg",icici-bank-tower-road-no-2,JLL,,,,
DIVYASREE TRINITY - BLOCK 4,office,"Hitech City Road, Hitec City, Hyderabad",,Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/divyasree-trinity-block-4-hitech-city-road,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1738081267/prd/Focus/Property/oa6nlcgfu49keib4hx5n.jpg",divyasree-trinity-block-4-hitech-city-road,JLL,,,,
MINDSPACE - BUILDING NO 14,office,"Inorbit Mall Road, Hitec City, Hyderabad",,Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/mindspace-building-no-14-inorbit-mall-road,"https://jll-global-gdim-res.cloudinary.com/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1505556208/IN_ML20170916/Raheja-Building-No-14_10561_20170916_002.jpg",mindspace-building-no-14-inorbit-mall-road,JLL,,,,
